"","method","cor","Rank_pcc","edistance_score","Rank_edistance","mse_score","Rank_mse","DEG_score","Rank_deg","was_score","Rank_was","sym_score","Rank_sym","ac_score","ac_rank","Rank","DataSet","op"
"37","baseMLP",0.8711,1,1,1,0.931674101901855,2,0,4,0.521445156638192,3,0.00150984076066374,3,0.554288183216785,2.33333333333333,2,"sciplex3_comb","A549_CHEMBL483254+CHEMBL1200485_3.0+3.0_1"
"38","baseReg",0.3129,4,0.774001921900935,3,0.160835876966424,3,0,4,0.0938838933765984,4,7.0545189040927e-05,5,0.2236153729055,3.83333333333333,4,"sciplex3_comb","A549_CHEMBL483254+CHEMBL1200485_3.0+3.0_1"
"39","baseControl",-0.0770999999999999,6,0.730737311085874,5,0,6,0.02,1,0,6,0,6,0.112272885180979,5,6,"sciplex3_comb","A549_CHEMBL483254+CHEMBL1200485_3.0+3.0_1"
"40","CPA",0.7415,3,0,6,0.0950927447757689,4,0,4,0.715648077267309,2,0.854511077254581,2,0.40112531654961,3.5,3,"sciplex3_comb","A549_CHEMBL483254+CHEMBL1200485_3.0+3.0_1"
"41","PRnet",0.8601,2,0.819188433650738,2,1,1,0.01,2,1,1,1,1,0.781548072275123,1.5,1,"sciplex3_comb","A549_CHEMBL483254+CHEMBL1200485_3.0+3.0_1"
"42","trainMean",0.1664,5,0.740892810343321,4,0.0462549894341396,5,0.01,2,0.0327926500589687,5,0.000160075459871623,4,0.166083420882717,4.16666666666667,5,"sciplex3_comb","A549_CHEMBL483254+CHEMBL1200485_3.0+3.0_1"
"43","baseMLP",0.5298,2,0.802488553028329,4,0.577672369981365,4,0,2,0,6,0.99360867661063,4,0.483928266603387,3.66666666666667,4,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL491473_3.0+3.0_1"
"44","baseReg",0.5519,1,1,1,1,1,0,2,1,1,1,1,0.75865,1.16666666666667,1,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL491473_3.0+3.0_1"
"45","baseControl",0.0657,6,0.991344972638946,2,0.978654921226495,2,0.03,1,0.948554902647043,2,0.993767636569948,3,0.668003738847072,2.66666666666667,2,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL491473_3.0+3.0_1"
"46","CPA",0.4648,4,0,6,0,6,0,2,0.178853132425811,5,0,6,0.107275522070969,4.83333333333333,6,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL491473_3.0+3.0_1"
"47","PRnet",0.4887,3,0.626419238357592,5,0.437065898695579,5,0,2,0.580706246431006,4,0.340006143679804,5,0.412149587860664,4,5,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL491473_3.0+3.0_1"
"48","trainMean",0.3965,5,0.97072181066895,3,0.939014060647129,3,0,2,0.860644353160057,3,0.997245402450416,2,0.694020937821092,3,3,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL491473_3.0+3.0_1"
"49","baseMLP",0.3912,3,0.781575596202825,4,0.497887194561823,4,0,2,0,6,0.981252217611043,4,0.441985834729282,3.83333333333333,5,"sciplex3_comb","A549_CHEMBL1213492_3.0_1"
"50","baseReg",0.244,5,0.99164544261789,3,0.980525445526364,3,0,2,0.950915280628011,3,0.998542245662999,2,0.694271402405877,3,3,"sciplex3_comb","A549_CHEMBL1213492_3.0_1"
"51","baseControl",0.0598,6,0.995687659180366,2,0.988609222855043,2,0.06,1,0.971768176711819,2,0.996995286072969,3,0.678810057470033,2.66666666666667,2,"sciplex3_comb","A549_CHEMBL1213492_3.0_1"
"52","CPA",0.4167,2,0,6,0,6,0,2,0.469270404731255,5,0,6,0.147661734121876,4.5,6,"sciplex3_comb","A549_CHEMBL1213492_3.0_1"
"53","PRnet",0.4283,1,0.535222273674462,5,0.310674260518097,5,0,2,0.653337248728919,4,0.340032903488446,5,0.377927781068321,3.66666666666667,4,"sciplex3_comb","A549_CHEMBL1213492_3.0_1"
"54","trainMean",0.2939,4,1,1,1,1,0,2,1,1,1,1,0.71565,1.66666666666667,1,"sciplex3_comb","A549_CHEMBL1213492_3.0_1"
"55","baseMLP",0.8476,2,1,1,0.802799607072691,2,0.01,3,0.437690274708801,3,0,5,0.516348313630249,2.66666666666667,2,"sciplex3_comb","A549_CHEMBL483254+CHEMBL1421_3.0+3.0_1"
"56","baseReg",0.2388,4,0.794184466795292,3,0.108055009823183,3,0,6,0.0547304356325012,4,0.000101220409576053,4,0.199311855443425,4,4,"sciplex3_comb","A549_CHEMBL483254+CHEMBL1421_3.0+3.0_1"
"57","baseControl",-0.0464,6,0.762092861301702,5,0,6,0.06,1,0,6,0,5,0.129282143550284,4.83333333333333,6,"sciplex3_comb","A549_CHEMBL483254+CHEMBL1421_3.0+3.0_1"
"58","CPA",0.7462,3,0,6,0.0766208251473475,4,0.01,3,0.734292306859201,2,0.87132572642476,2,0.406406476405218,3.33333333333333,3,"sciplex3_comb","A549_CHEMBL483254+CHEMBL1421_3.0+3.0_1"
"59","PRnet",0.8804,1,0.867283915381366,2,1,1,0.02,2,1,1,1,1,0.794613985896894,1.33333333333333,1,"sciplex3_comb","A549_CHEMBL483254+CHEMBL1421_3.0+3.0_1"
"60","trainMean",0.1864,5,0.767618416996792,4,0.0139980353634579,5,0.01,3,0.00210267999244518,5,0.000176947296024577,3,0.163382679941453,4.16666666666667,5,"sciplex3_comb","A549_CHEMBL483254+CHEMBL1421_3.0+3.0_1"
"61","baseMLP",0.7348,3,0.873405212028975,4,0.700523357239775,4,0.03,2,0,6,0,5,0.389788094878125,4,5,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL109480_3.0+3.0_1"
"62","baseReg",0.7979,2,0.999268695213907,2,0.998836983911611,2,0,3,0.699536800951895,3,7.41297825399556e-05,4,0.582602768309992,2.66666666666667,2,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL109480_3.0+3.0_1"
"63","baseControl",0.1686,6,0.904040953068021,3,0.775150222911417,3,0.06,1,0.175803161652218,5,0,5,0.347265722938609,3.83333333333333,4,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL109480_3.0+3.0_1"
"64","CPA",0.4545,5,0,6,0,6,0,3,0.594394866564678,4,0.881949852619013,2,0.321807453197282,4.33333333333333,6,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL109480_3.0+3.0_1"
"65","PRnet",0.6133,4,0.640207927739181,5,0.45900368288428,5,0,3,1,1,1,1,0.61875193510391,3.16666666666667,3,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL109480_3.0+3.0_1"
"66","trainMean",0.8132,1,1,1,1,1,0,3,0.704903960564338,2,0.000190327070578311,3,0.586382381272486,1.83333333333333,1,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL109480_3.0+3.0_1"
"67","baseMLP",0.3991,4,0.677737592207978,4,0.305598755832037,5,0,2,0,6,0.9783465177175,4,0.393463810959586,4.16666666666667,5,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL460499_3.0+3.0_1"
"68","baseReg",0.5294,2,1,1,1,1,0,2,1,1,1,1,0.7549,1.33333333333333,1,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL460499_3.0+3.0_1"
"69","baseControl",0.00790000000000002,6,0.992757645205185,2,0.985381026438569,2,0.03,1,0.97319845236176,2,0.997471811911392,2,0.664451489319484,2.5,2,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL460499_3.0+3.0_1"
"70","CPA",0.3546,5,0,6,0,6,0,2,0.438862350136182,5,0,6,0.132243725022697,5,6,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL460499_3.0+3.0_1"
"71","PRnet",0.4411,3,0.577544224020626,5,0.397200622083981,4,0,2,0.708914192623264,4,0.353334634573112,5,0.41301561221683,3.83333333333333,4,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL460499_3.0+3.0_1"
"72","trainMean",0.5295,1,0.985237771252596,3,0.970762052877138,3,0,2,0.949805696734178,3,0.996456606965481,3,0.738627021304899,2.5,2,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL460499_3.0+3.0_1"
"73","baseMLP",0.8352,2,1,1,0.904917142080956,2,0,3,0.440604771208972,3,1,1,0.696786985548321,2,1,"sciplex3_comb","A549_CHEMBL483254+CHEMBL4297436_3.0+3.0_1"
"74","baseReg",0.3263,4,0.786974742326424,2,0.10893778864439,3,0,3,0.0483832515327887,4,0.994484606093346,2,0.377513398099492,3,3,"sciplex3_comb","A549_CHEMBL483254+CHEMBL4297436_3.0+3.0_1"
"75","baseControl",-0.00239999999999996,6,0.757299807452713,5,0,6,0.03,1,0,6,0.993958947320496,3,0.296476459128868,4.5,6,"sciplex3_comb","A549_CHEMBL483254+CHEMBL4297436_3.0+3.0_1"
"76","CPA",0.7496,3,0,6,0.0730779679434934,4,0,3,0.734628062337716,2,0,6,0.259551005046868,4,4,"sciplex3_comb","A549_CHEMBL483254+CHEMBL4297436_3.0+3.0_1"
"77","PRnet",0.8663,1,0.786600974062748,3,1,1,0.01,2,1,1,0.245112531066391,5,0.65133558418819,2.16666666666667,2,"sciplex3_comb","A549_CHEMBL483254+CHEMBL4297436_3.0+3.0_1"
"78","trainMean",0.1237,5,0.772318495865896,4,0.0510730779679432,5,0,3,0.0181213688591287,5,0.993713293225337,4,0.326487705986384,4.33333333333333,5,"sciplex3_comb","A549_CHEMBL483254+CHEMBL4297436_3.0+3.0_1"
"79","baseMLP",0.8523,2,1,1,0.895718990120746,2,0,3,0.421045735782574,3,1,1,0.694844120983887,2,1,"sciplex3_comb","A549_CHEMBL483254+CHEMBL257991_3.0+3.0_1"
"80","baseReg",0.3155,4,0.807008456540588,3,0.201427003293084,3,0,3,0.0642542236569392,4,0.994748645686369,3,0.397156388196163,3.33333333333333,3,"sciplex3_comb","A549_CHEMBL483254+CHEMBL257991_3.0+3.0_1"
"81","baseControl",0.1025,6,0.772439109529654,5,0.0727222832052689,5,0.07,1,0,6,0.993673294509188,4,0.335222447874018,4.5,6,"sciplex3_comb","A549_CHEMBL483254+CHEMBL257991_3.0+3.0_1"
"82","CPA",0.6964,3,0,6,0,6,0,3,0.701038543613675,2,0,6,0.232906423935612,4.33333333333333,5,"sciplex3_comb","A549_CHEMBL483254+CHEMBL257991_3.0+3.0_1"
"83","PRnet",0.8802,1,0.827851408109721,2,1,1,0.02,2,1,1,0.26812604974134,5,0.66602957630851,2,1,"sciplex3_comb","A549_CHEMBL483254+CHEMBL257991_3.0+3.0_1"
"84","trainMean",0.2121,5,0.795162543493193,4,0.157244785949506,4,0,3,0.0429272127418472,5,0.995390255157001,2,0.367137466223591,3.83333333333333,4,"sciplex3_comb","A549_CHEMBL483254+CHEMBL257991_3.0+3.0_1"
"85","baseMLP",0.87,1,1,1,0.960439144425516,2,0,4,0.513283676765827,3,0.00368817939601684,3,0.557901833431227,2.33333333333333,2,"sciplex3_comb","A549_CHEMBL483254+CHEMBL601719_3.0+3.0_1"
"86","baseReg",0.3601,4,0.81410773681828,3,0.370244179443498,3,0,4,0.0934598507687178,4,2.81303349540796e-05,5,0.272989982894242,3.83333333333333,4,"sciplex3_comb","A549_CHEMBL483254+CHEMBL601719_3.0+3.0_1"
"87","baseControl",-0.00980000000000003,6,0.767728158397134,5,0.225250804467159,5,0.02,1,0,6,0,6,0.167196493810716,4.83333333333333,6,"sciplex3_comb","A549_CHEMBL483254+CHEMBL601719_3.0+3.0_1"
"88","CPA",0.7024,3,0,6,0,6,0.01,2,0.519280393939196,2,0.854983538579146,2,0.34777732208639,3.5,3,"sciplex3_comb","A549_CHEMBL483254+CHEMBL601719_3.0+3.0_1"
"89","PRnet",0.8533,2,0.816745064850716,2,1,1,0.01,2,1,1,1,1,0.780007510808452,1.5,1,"sciplex3_comb","A549_CHEMBL483254+CHEMBL601719_3.0+3.0_1"
"90","trainMean",0.1999,5,0.791159046625598,4,0.301911792542116,4,0,4,0.0531608650444356,5,6.85386172006863e-05,4,0.224366707138225,4.33333333333333,5,"sciplex3_comb","A549_CHEMBL483254+CHEMBL601719_3.0+3.0_1"
"91","baseMLP",0.397,1,0.879605047280971,4,0.722309197651663,4,0.01,1,0,6,0.99180596651165,4,0.500120035240714,3.33333333333333,4,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL4297436_3.0+3.0_1"
"92","baseReg",0.1432,4,0.998737185414989,2,0.99706457925636,2,0,3,1,1,1,1,0.689833627445225,2.16666666666667,1,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL4297436_3.0+3.0_1"
"93","baseControl",-0.265,6,1,1,1,1,0.01,1,0.9900694094635,2,0.99795330312533,3,0.622170452098138,2.33333333333333,2,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL4297436_3.0+3.0_1"
"94","CPA",0.3805,2,0,6,0,6,0,3,0.124937034299134,4,0,6,0.0842395057165223,4.5,6,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL4297436_3.0+3.0_1"
"95","PRnet",0.3423,3,0.557676818900456,5,0.272015655577299,5,0,3,0.0877725515337466,5,0.206906685968102,5,0.244445285329934,4.33333333333333,5,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL4297436_3.0+3.0_1"
"96","trainMean",-0.0445,5,0.993845021825811,3,0.985714285714286,3,0,3,0.945126618300286,3,0.998889481853791,2,0.646512567949029,3.16666666666667,3,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL4297436_3.0+3.0_1"
"97","baseMLP",0.6683,3,0.940230338741736,2,0.801197604790419,2,0,2,0.285346962097644,4,1,1,0.615845817604966,2.33333333333333,2,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL1200485_3.0+3.0_1"
"98","baseReg",0.7856,2,0.900097266665727,3,0.686626746506986,3,0,2,0.233799214562341,5,0.994297797340921,3,0.600070170845996,3,3,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL1200485_3.0+3.0_1"
"99","baseControl",-0.0508,6,0.726849828726088,5,0.116966067864272,5,0.02,1,0,6,0.982827618775846,4,0.299307252561034,4.5,5,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL1200485_3.0+3.0_1"
"100","CPA",0.4973,5,0,6,0,6,0,2,0.968738190470144,2,0,6,0.244339698411691,4.5,5,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL1200485_3.0+3.0_1"
"101","PRnet",0.6003,4,0.749418514498372,4,0.565269461077844,4,0,2,1,1,0.197487671779446,5,0.518745941225944,3.33333333333333,4,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL1200485_3.0+3.0_1"
"102","trainMean",0.8355,1,1,1,1,1,0,2,0.364366888270132,3,0.998665795488809,2,0.699755447293157,1.66666666666667,1,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL1200485_3.0+3.0_1"
"103","baseMLP",0.8354,1,1,1,0.988339920948617,2,0.02,2,0.492051979524411,3,0,5,0.555965316745505,2.33333333333333,1,"sciplex3_comb","A549_CHEMBL483254+CHEMBL383824_3.0+3.0_1"
"104","baseReg",0.3052,4,0.843777719293116,2,0.476877470355731,3,0.01,3,0.171039134873148,4,1.86274697273614e-05,4,0.301152158665287,3.33333333333333,3,"sciplex3_comb","A549_CHEMBL483254+CHEMBL383824_3.0+3.0_1"
"105","baseControl",-0.1132,6,0.774083496603016,5,0.226086956521739,5,0.03,1,0,6,0,5,0.152828408854126,4.66666666666667,6,"sciplex3_comb","A549_CHEMBL483254+CHEMBL383824_3.0+3.0_1"
"106","CPA",0.6608,3,0,6,0,6,0,5,0.566251974845121,2,0.89825709118166,2,0.35421817767113,4,5,"sciplex3_comb","A549_CHEMBL483254+CHEMBL383824_3.0+3.0_1"
"107","PRnet",0.8161,2,0.784493766509733,4,1,1,0,5,1,1,1,1,0.766765627751622,2.33333333333333,1,"sciplex3_comb","A549_CHEMBL483254+CHEMBL383824_3.0+3.0_1"
"108","trainMean",0.2045,5,0.808608942304881,3,0.350395256916996,4,0.01,3,0.0851606166319208,5,6.13953185296667e-05,3,0.243121035195388,3.83333333333333,4,"sciplex3_comb","A549_CHEMBL483254+CHEMBL383824_3.0+3.0_1"
"109","baseMLP",0.8829,1,1,1,0.845127118644068,2,0,2,0.447209139828855,3,3.33066907387547e-15,5,0.529206043078821,2.33333333333333,2,"sciplex3_comb","A549_CHEMBL483254+CHEMBL116438_3.0+3.0_1"
"110","baseReg",0.3239,4,0.779291909879439,3,0.196186440677966,3,0,2,0.0970119964790966,4,2.08124336197324e-05,4,0.23273519324502,3.33333333333333,4,"sciplex3_comb","A549_CHEMBL483254+CHEMBL116438_3.0+3.0_1"
"111","baseControl",-0.1029,6,0.719207899187169,5,0,6,0.01,1,0,6,0,6,0.104384649864528,5,6,"sciplex3_comb","A549_CHEMBL483254+CHEMBL116438_3.0+3.0_1"
"112","CPA",0.728,3,0,6,0.1125,4,0,2,0.694155573099575,2,0.854865456056604,2,0.398253504859363,3.16666666666667,3,"sciplex3_comb","A549_CHEMBL483254+CHEMBL116438_3.0+3.0_1"
"113","PRnet",0.8686,2,0.840641536195516,2,1,1,0,2,1,1,1,1,0.784873589365919,1.5,1,"sciplex3_comb","A549_CHEMBL483254+CHEMBL116438_3.0+3.0_1"
"114","trainMean",0.1818,5,0.733893404615133,4,0.0519067796610169,5,0,2,0.0209961070427136,5,6.74878166302406e-05,3,0.164777296522582,4,5,"sciplex3_comb","A549_CHEMBL483254+CHEMBL116438_3.0+3.0_1"
"115","baseMLP",0.5061,1,0.916794264725406,4,0.831955922865014,4,0.03,1,0.546177056348363,4,0.994411917873365,4,0.637573193635358,3,3,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL1421_3.0+3.0_1"
"116","baseReg",0.1434,4,0.995999468956056,2,0.992041628405265,2,0,3,0.983902607028946,2,1,1,0.685890617398378,2.33333333333333,2,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL1421_3.0+3.0_1"
"117","baseControl",-0.1549,6,1,1,1,1,0.03,1,1,1,0.997595225103372,2,0.645449204183895,2,1,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL1421_3.0+3.0_1"
"118","CPA",0.3927,3,0,6,0,6,0,3,0,6,0,6,0.06545,5,6,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL1421_3.0+3.0_1"
"119","PRnet",0.4507,2,0.547346992963668,5,0.315273951637588,5,0,3,0.217344753747324,5,0.289350548352404,5,0.30333604111683,4.16666666666667,5,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL1421_3.0+3.0_1"
"120","trainMean",0.1356,5,0.955985307784219,3,0.914447505356596,3,0,3,0.768276156391788,3,0.995544005383212,3,0.628308829152636,3.33333333333333,4,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL1421_3.0+3.0_1"
"121","baseMLP",0.4582,1,0.73798897097474,4,0.426590828297192,4,0,2,0,6,0.984094866446325,4,0.434479110953043,3.5,4,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL116438_3.0+3.0_1"
"122","baseReg",0.2579,4,0.99676010436478,2,0.994489868467828,2,0,2,0.994114239369714,2,1,1,0.70721070203372,2.16666666666667,2,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL116438_3.0+3.0_1"
"123","baseControl",0.0447,6,1,1,1,1,0.06,1,1,1,0.997698144844812,2,0.683733024140802,2,1,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL116438_3.0+3.0_1"
"124","CPA",0.3547,3,0,6,0,6,0,2,0.391403081914031,5,0,6,0.124350513652338,4.66666666666667,6,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL116438_3.0+3.0_1"
"125","PRnet",0.3686,2,0.592012080318829,5,0.351581940988269,5,0,2,0.518584173328699,4,0.254109120810104,5,0.347481219240983,3.83333333333333,5,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL116438_3.0+3.0_1"
