"","method","cor","Rank_pcc","edistance_score","Rank_edistance","mse_score","Rank_mse","sym_score","Rank_sym","ac_score","ac_rank","Rank","DataSet","op"
"33","baseReg",0.3202,13,0.971764641066608,9,0.933566433566434,12,0.143253969078669,6,0.592196260927928,10,11,"Norman","ARID1A_1"
"34","biolord",0.5246,11,0.987649899913687,6,0.968531468531469,10,0.139696670094775,10,0.655119509634983,9.25,10,"Norman","ARID1A_1"
"35","baseControl",0.0122,15,0.962885424127229,10,0.912587412587413,13,0.141890209464892,9,0.507390761544883,11.75,15,"Norman","ARID1A_1"
"36","CPA",0.6463,2,0.43913099370099,12,0.996503496503496,2,1,1,0.770483622551122,4.25,3,"Norman","ARID1A_1"
"37","GEARS",0.5884,9,0.986722494628395,7,0.979020979020979,7,0.0203896966026317,12,0.643633292563002,8.75,8,"Norman","ARID1A_1"
"38","GeneCompass",0.5947,8,0.987989642443942,5,0.975524475524476,9,0.0180886386127848,13,0.644075689145301,8.75,8,"Norman","ARID1A_1"
"39","GenePert",0.6531,1,1,1,1,1,0.142752027322622,7,0.698963006830656,2.5,1,"Norman","ARID1A_1"
"40","linearModel",0.6448,3,0.998071731585037,2,0.989510489510489,3,0.148505409274601,4,0.695221907592532,3,2,"Norman","ARID1A_1"
"41","scELMo",0.5464,10,0.982471121884928,8,0.968531468531469,10,0,15,0.624350647604099,10.75,13,"Norman","ARID1A_1"
"42","scFoundation",0.4311,12,0.19216572089692,13,0.615384615384615,14,0.151324345892611,3,0.347493670543537,10.5,12,"Norman","ARID1A_1"
"43","scGPT",0.644,4,0,15,0.982517482517482,5,0.948073945141899,2,0.643647856914845,6.5,5,"Norman","ARID1A_1"
"44","scouter",0.6185,6,0.132297577727582,14,0.989510489510489,3,0.0683490940734571,11,0.452164290327882,8.5,7,"Norman","ARID1A_1"
"45","trainMean",0.6236,5,0.994307017060584,3,0.982517482517482,5,0.142691854648572,8,0.68577908855666,5.25,4,"Norman","ARID1A_1"
"46","AttentionPert",-0.1483,11,0.938148683187021,10,0.78030303030303,13,0.0575669598915066,10,0.406929668345389,11,13,"Norman","BAK1+BCL2L11_1"
"47","baseMLP",-0.0567,8,0.699888876541838,11,0,15,0.162083397541139,4,0.201318068520744,9.5,9,"Norman","BAK1+BCL2L11_1"
"48","baseReg",0.0303,4,0.994043782642516,2,0.96969696969697,3,0.160384700017583,7,0.538606363089267,4,2,"Norman","BAK1+BCL2L11_1"
"49","biolord",0.0657,3,0.982486942993666,3,0.931818181818182,4,0.151227240338776,9,0.532808091287656,4.75,3,"Norman","BAK1+BCL2L11_1"
"50","baseControl",0.0133,5,1,1,0.992424242424242,2,0.164051523893485,3,0.542443941579432,2.75,1,"Norman","BAK1+BCL2L11_1"
"51","CPA",-0.0721000000000001,9,0.312723635959551,12,0.863636363636364,10,1,1,0.526064999898979,8,8,"Norman","BAK1+BCL2L11_1"
"52","GEARS",-0.1635,13,0.954817201911323,8,0.840909090909091,11,0.0552528399995975,11,0.421869783205003,10.75,12,"Norman","BAK1+BCL2L11_1"
"53","GeneCompass",-0.1547,12,0.966796310701189,7,0.878787878787879,9,0.0551420489575704,12,0.43650655961166,10,11,"Norman","BAK1+BCL2L11_1"
"54","GenePert",-0.1389,10,0.969318813201467,6,0.893939393939394,8,0.161574374637418,6,0.47148314544457,7.5,7,"Norman","BAK1+BCL2L11_1"
"55","linearModel",-0.0148999999999999,6,0.976575175019447,4,0.916666666666667,5,0.15935109033276,8,0.509423233004718,5.75,6,"Norman","BAK1+BCL2L11_1"
"56","scELMo",-0.1697,14,0.943171463495944,9,0.795454545454545,12,0.0247090349843497,13,0.39840876098371,12,14,"Norman","BAK1+BCL2L11_1"
"57","scFoundation",-0.2241,15,0.178064229358818,13,0.121212121212121,14,0.0160947314747983,14,0.0228177705114343,14,15,"Norman","BAK1+BCL2L11_1"
"58","scGPT",0.1675,1,0,15,1,1,0.910074251447945,2,0.519393562861986,4.75,3,"Norman","BAK1+BCL2L11_1"
"59","scouter",0.0723,2,0.139893321480165,14,0.901515151515151,7,0,15,0.278427118248829,9.5,9,"Norman","BAK1+BCL2L11_1"
"60","trainMean",-0.0238,7,0.976164018224247,5,0.916666666666667,5,0.161708086981186,5,0.507684692968025,5.5,5,"Norman","BAK1+BCL2L11_1"
"61","AttentionPert",0.0248,8,0.964083894805477,8,0.944927536231884,10,0.133838892178786,12,0.516912580804037,9.5,10,"Norman","BAK1+KLF1_1"
"62","baseMLP",-0.0778000000000001,15,0.269963051510541,12,0,15,0.246126920037394,4,0.109572492886984,11.5,12,"Norman","BAK1+KLF1_1"
"63","baseReg",-0.0317000000000001,14,0.985274940230385,2,0.973913043478261,4,0.244933664085589,8,0.543105411948559,7,7,"Norman","BAK1+KLF1_1"
"64","biolord",0.1819,3,0.973744838078679,5,0.959420289855072,7,0.230368560454623,9,0.586358422097093,6,6,"Norman","BAK1+KLF1_1"
"65","baseControl",0.00719999999999998,10,1,1,0.991304347826087,2,0.245773804607408,5,0.561069538108374,4.5,2,"Norman","BAK1+KLF1_1"
"66","CPA",0.2467,2,0.391501847424473,11,0.988405797101449,3,1,1,0.656651911131481,4.25,1,"Norman","BAK1+KLF1_1"
"67","GEARS",0.1248,4,0.952347315800913,9,0.927536231884058,12,0.121606215141208,13,0.531572440706545,9.5,10,"Norman","BAK1+KLF1_1"
"68","GeneCompass",0.0805,5,0.97310367311454,6,0.956521739130435,8,0.155918780328768,10,0.541511048143436,7.25,8,"Norman","BAK1+KLF1_1"
"69","GenePert",-0.0169999999999999,12,0.965529232775484,7,0.950724637681159,9,0.245611563943855,6,0.536216358600125,8.5,9,"Norman","BAK1+KLF1_1"
"70","linearModel",0.0548999999999999,6,0.981014996739839,4,0.968115942028986,5,0.245038997130968,7,0.562267483974948,5.5,5,"Norman","BAK1+KLF1_1"
"71","scELMo",-0.0275000000000001,13,0.93237339708759,10,0.904347826086957,13,0.119567400255056,14,0.482197155857401,12.5,15,"Norman","BAK1+KLF1_1"
"72","scFoundation",-0.00879999999999992,11,0.16746359487068,13,0.63768115942029,14,0.138072196163914,11,0.233604237613721,12.25,13,"Norman","BAK1+KLF1_1"
"73","scGPT",0.2801,1,0,15,1,1,0.961531000066826,2,0.560407750016707,4.75,4,"Norman","BAK1+KLF1_1"
"74","scouter",0.0144,9,0.0950445555314061,14,0.930434782608696,11,0,15,0.259969834535025,12.25,13,"Norman","BAK1+KLF1_1"
"75","trainMean",0.0386,7,0.981047598348185,3,0.968115942028986,5,0.246975820058648,3,0.558684840108955,4.5,2,"Norman","BAK1+KLF1_1"
"76","AttentionPert",0.4209,7,0.972816195331708,7,0.876190476190476,10,0.135442367348776,11,0.60133725971774,8.75,9,"Norman","BAK1+TMSB4X_1"
"77","baseMLP",0.338,8,0.946334869562441,11,0.761904761904762,14,0.229419083310695,7,0.568914678694475,10,10,"Norman","BAK1+TMSB4X_1"
"78","baseReg",0.7235,5,0.997147509925175,4,0.980952380952381,5,0.229499571876277,6,0.732774865688458,5,4,"Norman","BAK1+TMSB4X_1"
"79","biolord",0.8345,1,0.999797771226039,2,1,1,0.229722508535622,4,0.766005069940415,2,1,"Norman","BAK1+TMSB4X_1"
"80","baseControl",0.00519999999999998,15,0.977903845539791,5,0.904761904761905,8,0.229696987100075,5,0.529390684350443,8.25,8,"Norman","BAK1+TMSB4X_1"
"81","CPA",0.236,11,0.379913360935787,12,0.923809523809524,7,1,1,0.634930721186328,7.75,6,"Norman","BAK1+TMSB4X_1"
"82","GEARS",0.1526,13,0.961523314848914,9,0.828571428571429,12,0.135397440752622,12,0.519523046043241,11.5,13,"Norman","BAK1+TMSB4X_1"
"83","GeneCompass",0.2328,12,0.966696114014454,8,0.857142857142857,11,0.136318150766132,10,0.548239280480861,10.25,11,"Norman","BAK1+TMSB4X_1"
"84","GenePert",0.325,9,0.975051355464967,6,0.895238095238095,9,0.229017135679864,8,0.606076646595731,8,7,"Norman","BAK1+TMSB4X_1"
"85","linearModel",0.8338,2,1,1,1,1,0.228290665505043,9,0.765522666376261,3.25,3,"Norman","BAK1+TMSB4X_1"
"86","scELMo",0.2512,10,0.950549742956585,10,0.780952380952381,13,0.10961394991416,13,0.523079018455781,11.5,13,"Norman","BAK1+TMSB4X_1"
"87","scFoundation",0.1434,14,0.226506870456505,13,0,15,0.101915592476236,14,0.117955615733185,14,15,"Norman","BAK1+TMSB4X_1"
"88","scGPT",0.7748,4,0,15,0.990476190476191,4,0.915426196328857,2,0.670175596701262,6.25,5,"Norman","BAK1+TMSB4X_1"
"89","scouter",0.6847,6,0.16251742892723,14,0.961904761904762,6,0,15,0.452280547707998,10.25,11,"Norman","BAK1+TMSB4X_1"
"90","trainMean",0.8281,3,0.999563611593031,3,1,1,0.229990528847102,3,0.764413535110033,2.5,2,"Norman","BAK1+TMSB4X_1"
"91","AttentionPert",0.0899,8,0.990541884429022,3,0.990267639902676,2,0.0920266684294109,13,0.540684048190277,6.5,6,"Norman","BCL2L11_1"
"92","baseMLP",-0.00580000000000003,13,0.155804997778295,13,0,15,0.180699947836613,3,0.082676236403727,11,14,"Norman","BCL2L11_1"
"93","baseReg",0.15,4,0.980999132477095,8,0.980535279805353,9,0.179019620177533,7,0.572638508114995,7,8,"Norman","BCL2L11_1"
"94","biolord",0.1712,3,0.987325701952985,6,0.987834549878346,6,0.159555612209462,9,0.576478966010198,6,5,"Norman","BCL2L11_1"
"95","baseControl",-0.0183,15,1,1,1,1,0.18037159193805,5,0.540517897984513,5.5,3,"Norman","BCL2L11_1"
"96","CPA",0.0537,11,0.238790969298153,11,0.878345498783455,13,1,1,0.542709117020402,9,10,"Norman","BCL2L11_1"
"97","GEARS",0.135,6,0.989981168405239,4,0.990267639902676,2,0.101335464467282,11,0.554146068193799,5.75,4,"Norman","BCL2L11_1"
"98","GeneCompass",0.084,9,0.984204735405514,7,0.982968369829684,8,0.0549127124877596,14,0.526521454430739,9.5,11,"Norman","BCL2L11_1"
"99","GenePert",0.1343,7,0.974270540191701,9,0.97323600973236,10,0.180163261683131,6,0.565492452901798,8,9,"Norman","BCL2L11_1"
"100","linearModel",0.0765,10,0.96984828928715,10,0.968369829683698,12,0.17744885736822,8,0.548041744084767,10,13,"Norman","BCL2L11_1"
"101","scELMo",0.0515,12,0.991758532405154,2,0.990267639902676,2,0.110577731176486,10,0.536025975871079,6.5,6,"Norman","BCL2L11_1"
"102","scFoundation",-0.00689999999999991,14,0.131969276993716,14,0.673965936739659,14,0.0924384875309904,12,0.222868425316091,13.5,15,"Norman","BCL2L11_1"
"103","scGPT",0.2352,1,0,15,0.990267639902676,2,0.909023497412092,2,0.533622784328692,5,1,"Norman","BCL2L11_1"
"104","scouter",0.1907,2,0.160523476016166,12,0.97323600973236,10,0,15,0.331114871437131,9.75,12,"Norman","BCL2L11_1"
"105","trainMean",0.1399,5,0.98757961109583,5,0.987834549878346,6,0.180434393827097,4,0.573937138700318,5,1,"Norman","BCL2L11_1"
"106","AttentionPert",0.4948,3,0.989139622722263,5,0.953846153846154,7,0.0717860521648594,14,0.627392957183319,7.25,7,"Norman","BCL2L11+TGFBR2_1"
"107","baseMLP",0.1249,13,0.716068008431505,11,0,15,0.180265354081013,7,0.25530834062813,11.5,14,"Norman","BCL2L11+TGFBR2_1"
"108","baseReg",0.4901,4,1,1,1,1,0.181123433124899,4,0.667805858281225,2.5,1,"Norman","BCL2L11+TGFBR2_1"
"109","biolord",0.5692,2,0.995281353320707,3,0.984615384615385,4,0.167097223815215,9,0.679048490437827,4.5,2,"Norman","BCL2L11+TGFBR2_1"
"110","baseControl",0.00439999999999996,15,0.999903701088178,2,0.992307692307692,2,0.181150153977283,3,0.544440386843288,5.5,4,"Norman","BCL2L11+TGFBR2_1"
"111","CPA",0.2689,11,0.292074599557025,12,0.815384615384615,13,1,1,0.59408980373541,9.25,9,"Norman","BCL2L11+TGFBR2_1"
"112","GEARS",0.3986,8,0.962839319915685,10,0.869230769230769,12,0.0810673320676191,13,0.577934355303518,10.75,12,"Norman","BCL2L11+TGFBR2_1"
"113","GeneCompass",0.3064,9,0.976577964668999,8,0.915384615384615,10,0.101238223196486,10,0.574900200812525,9.25,9,"Norman","BCL2L11+TGFBR2_1"
"114","GenePert",0.2723,10,0.981895804577408,7,0.938461538461538,8,0.180591316467007,5,0.593312164876488,7.5,8,"Norman","BCL2L11+TGFBR2_1"
"115","linearModel",0.4607,5,0.990006312928664,4,0.961538461538462,5,0.180315996509425,6,0.648140192744138,5,3,"Norman","BCL2L11+TGFBR2_1"
"116","scELMo",0.2511,12,0.965717587391262,9,0.876923076923077,11,0.0883204875314189,11,0.54551528796144,10.75,12,"Norman","BCL2L11+TGFBR2_1"
"117","scFoundation",0.0676,14,0.189826554959929,13,0.115384615384615,14,0.0841212099146996,12,0.114233095064811,13.25,15,"Norman","BCL2L11+TGFBR2_1"
"118","scGPT",0.4076,7,0,15,0.992307692307692,2,0.924762290676625,2,0.581167495746079,6.5,6,"Norman","BCL2L11+TGFBR2_1"
"119","scouter",0.6253,1,0.136862153457666,14,0.930769230769231,9,0,15,0.423232846056724,9.75,11,"Norman","BCL2L11+TGFBR2_1"
"120","trainMean",0.4437,6,0.988615328646786,6,0.961538461538462,5,0.180017373623205,8,0.643467790952113,6.25,5,"Norman","BCL2L11+TGFBR2_1"
"121","AttentionPert",0.1999,11,0.995748805929456,3,0.995833333333333,3,0.0600998916479599,10,0.562895507727687,6.75,7,"Norman","BCORL1_1"
"122","baseMLP",0.0738,14,0.525855540184387,11,0,15,0.139756276255091,3,0.184852954109869,10.75,12,"Norman","BCORL1_1"
"123","baseReg",0.2624,10,0.981278589532571,9,0.966666666666667,12,0.136194349009081,8,0.58663490130208,9.75,11,"Norman","BCORL1_1"
"124","biolord",0.3064,6,0.996415263907261,2,0.995833333333333,3,0.120985113834519,9,0.604908427768779,5,2,"Norman","BCORL1_1"
"125","baseControl",0.0476,15,1,1,1,1,0.138600288120594,6,0.546550072030148,5.75,4,"Norman","BCORL1_1"
"126","CPA",0.274,9,0.426411931617372,12,1,1,1,1,0.675102982904343,5.75,4,"Norman","BCORL1_1"
"127","GEARS",0.2805,8,0.978794518888025,10,0.958333333333333,13,0.0187473100436865,14,0.559093790566261,11.25,13,"Norman","BCORL1_1"
"128","GeneCompass",0.2905,7,0.989407357292161,7,0.983333333333333,9,0.0353688357801525,13,0.574652381601412,9,10,"Norman","BCORL1_1"
"129","GenePert",0.3923,1,0.983732366632671,8,0.970833333333333,11,0.13946014923731,4,0.621581462300828,6,6,"Norman","BCORL1_1"
"130","linearModel",0.3599,2,0.993204148196019,6,0.991666666666667,6,0.138499104079454,7,0.620817479735535,5.25,3,"Norman","BCORL1_1"
"131","scELMo",0.3071,5,0.994365400733104,5,0.991666666666667,6,0.036920058585283,12,0.582513031496263,7,8,"Norman","BCORL1_1"
"132","scFoundation",0.1791,13,0.125314295523624,14,0.429166666666667,14,0.0396896215484664,11,0.193317645934689,13,15,"Norman","BCORL1_1"
"133","scGPT",0.3509,3,0,15,0.983333333333333,9,0.926025695645037,2,0.565064757244593,7.25,9,"Norman","BCORL1_1"
"134","scouter",0.1997,12,0.155718916298937,13,0.9875,8,0,15,0.335729729074734,12,14,"Norman","BCORL1_1"
"135","trainMean",0.3355,4,0.995284304914623,4,0.995833333333333,3,0.139351881221478,5,0.616492379867359,4,1,"Norman","BCORL1_1"
"136","AttentionPert",0.7758,8,0.944891895248741,7,0.789473684210526,10,0.0913247676782619,11,0.650372586784382,9,9,"Norman","BPGM+SAMD1_1"
"137","baseMLP",0.6935,13,0.962318591342066,6,0.842105263157895,9,0.252592325290998,3,0.68762904494774,7.75,8,"Norman","BPGM+SAMD1_1"
"138","baseReg",0.9203,5,1,1,1,1,0.251951329749967,5,0.793062832437492,3,1,"Norman","BPGM+SAMD1_1"
"139","biolord",0.9384,1,0.99634077598479,4,0.992481203007519,2,0.250241828942036,9,0.794365951983586,4,4,"Norman","BPGM+SAMD1_1"
"140","baseControl",-0.0707,15,0.91895248741246,10,0.654135338345865,13,0.251932167104017,6,0.438579998215585,11,12,"Norman","BPGM+SAMD1_1"
"141","CPA",0.7824,7,0.392549705255716,12,0.917293233082707,7,1,1,0.773060734584606,6.75,5,"Norman","BPGM+SAMD1_1"
"142","GEARS",0.7387,10,0.905414313967153,11,0.631578947368421,14,0.0455788536540342,14,0.580318028747402,12.25,14,"Norman","BPGM+SAMD1_1"
"143","GeneCompass",0.7574,9,0.93321677319499,8,0.759398496240602,11,0.0727548771205997,13,0.630692536639048,10.25,11,"Norman","BPGM+SAMD1_1"
"144","GenePert",0.7221,12,0.96709564619221,5,0.864661654135338,8,0.252537147435216,4,0.701598611940691,7.25,6,"Norman","BPGM+SAMD1_1"
"145","linearModel",0.9384,1,0.99733440339362,2,0.992481203007519,2,0.250436105109073,8,0.794662927877553,3.25,2,"Norman","BPGM+SAMD1_1"
"146","scELMo",0.7264,11,0.920729551816714,9,0.699248120300752,12,0.074403999096642,12,0.605195417803527,11,12,"Norman","BPGM+SAMD1_1"
"147","scFoundation",0.5273,14,0.173703268460928,13,0,15,0.147126726137508,10,0.212032498649609,13,15,"Norman","BPGM+SAMD1_1"
"148","scGPT",0.884,6,0,15,0.962406015037594,6,0.938286435402941,2,0.696173112610134,7.25,6,"Norman","BPGM+SAMD1_1"
"149","scouter",0.924,4,0.170569520479234,14,0.984962406015038,5,0,15,0.519882981623568,9.5,10,"Norman","BPGM+SAMD1_1"
"150","trainMean",0.9363,3,0.996426762972092,3,0.992481203007519,2,0.251171781430118,7,0.794094936852432,3.75,3,"Norman","BPGM+SAMD1_1"
"151","AttentionPert",0.5765,2,0.987641069444339,5,0.848341232227488,2,0.0492176632764764,12,0.615424991237076,5.25,2,"Norman","CBFA2T3+FEV_1"
"152","baseMLP",0.2662,14,0.784553982448051,11,0,15,0.257052853320511,4,0.32695170894214,11,13,"Norman","CBFA2T3+FEV_1"
"153","baseReg",0.5532,7,0.984118585261503,8,0.786729857819905,10,0.254522217637527,8,0.644642665179734,8.25,9,"Norman","CBFA2T3+FEV_1"
"154","biolord",0.5429,10,0.985252432101472,7,0.796208530805687,9,0.22657545694449,9,0.637734104962912,8.75,10,"Norman","CBFA2T3+FEV_1"
"155","baseControl",-0.00970000000000004,15,0.9235560460493,10,0.52132701421801,14,0.259064682999316,3,0.423561935816656,10.5,12,"Norman","CBFA2T3+FEV_1"
"156","CPA",0.7138,1,0.462685100496625,12,1,1,0.931358838499148,2,0.776960984748943,4,1,"Norman","CBFA2T3+FEV_1"
"157","GEARS",0.5542,6,0.988003900433129,3,0.834123222748815,4,0.00778535133465141,14,0.596028118629149,6.75,6,"Norman","CBFA2T3+FEV_1"
"158","GeneCompass",0.55,9,1,1,0.834123222748815,4,0,15,0.596030805687204,7.25,8,"Norman","CBFA2T3+FEV_1"
"159","GenePert",0.5291,11,0.978585412682455,9,0.76303317535545,11,0.256624959239085,5,0.631835886819248,9,11,"Norman","CBFA2T3+FEV_1"
"160","linearModel",0.5525,8,0.987656187402206,4,0.805687203791469,6,0.255828679662545,7,0.650418017714055,6.25,5,"Norman","CBFA2T3+FEV_1"
"161","scELMo",0.5609,4,0.988858065052573,2,0.848341232227488,2,0.0171181790684717,13,0.603804369087133,5.25,2,"Norman","CBFA2T3+FEV_1"
"162","scFoundation",0.427,13,0.307317847505159,13,0.545023696682465,13,0.15679287083816,10,0.359033603756446,12.25,14,"Norman","CBFA2T3+FEV_1"
"163","scGPT",0.5648,3,0,15,0.800947867298578,8,1,1,0.591436966824645,6.75,6,"Norman","CBFA2T3+FEV_1"
"164","scouter",0.4997,12,0.0916601785430824,14,0.725118483412322,12,0.108044821560493,11,0.356130870878974,12.25,14,"Norman","CBFA2T3+FEV_1"
"165","trainMean",0.556,5,0.987331151308081,6,0.805687203791469,6,0.2562038681967,6,0.651305555824063,5.75,4,"Norman","CBFA2T3+FEV_1"
"166","AttentionPert",0.4757,9,0.986474467106272,10,0.985148514851485,11,0.112409476934709,13,0.639933114723117,10.75,12,"Norman","CBL_1"
"167","baseMLP",0.2302,13,0.215846240351684,12,0,15,0.204791441276876,4,0.16270942040714,11,13,"Norman","CBL_1"
"168","baseReg",0.6874,1,1,1,1,1,0.203776988345078,8,0.72279424708627,2.75,1,"Norman","CBL_1"
"169","biolord",0.4855,8,0.998394929203087,3,0.997524752475248,2,0.185726596850703,9,0.666786569632259,5.5,3,"Norman","CBL_1"
"170","baseControl",-0.0242,15,0.991136328783929,9,0.987623762376238,10,0.204889741063822,3,0.539862458055997,9.25,10,"Norman","CBL_1"
"171","CPA",0.4967,7,0.330296989214333,11,0.938118811881188,13,1,1,0.69127895027388,8,8,"Norman","CBL_1"
"172","GEARS",0.591,2,0.994070439094208,6,0.992574257425743,6,0.102034308921627,14,0.669919751360394,7,6,"Norman","CBL_1"
"173","GeneCompass",0.5237,5,0.994244236569033,5,0.992574257425743,6,0.120683622219163,12,0.657800529053485,7,6,"Norman","CBL_1"
"174","GenePert",0.4605,10,0.991565710780555,8,0.99009900990099,8,0.204661298865001,6,0.661706504886637,8,8,"Norman","CBL_1"
"175","linearModel",0.5078,6,0.995808413842458,4,0.995049504950495,5,0.20431499996131,7,0.675743229688566,5.5,3,"Norman","CBL_1"
"176","scELMo",0.3908,11,0.991995092777181,7,0.99009900990099,8,0.121058750653318,11,0.623488213332872,9.25,10,"Norman","CBL_1"
"177","scFoundation",0.3195,12,0.13754536625262,13,0.678217821782178,14,0.160386467259358,10,0.323912413823539,12.25,14,"Norman","CBL_1"
"178","scGPT",0.5687,3,0,15,0.997524752475248,2,0.931492511704756,2,0.624429316045001,5.5,3,"Norman","CBL_1"
"179","scouter",0.1085,14,0.135275775699024,14,0.962871287128713,12,0,15,0.301661765706934,13.75,15,"Norman","CBL_1"
"180","trainMean",0.5369,4,0.999683075192966,2,0.997524752475248,2,0.204728359937473,5,0.684709046901422,3.25,2,"Norman","CBL_1"
"181","AttentionPert",0.5685,7,0.970323039309185,8,0.959697732997481,9,0.0367473239467977,11,0.633817024063366,8.75,9,"Norman","CBL+CNN1_1"
"182","baseMLP",0.2153,13,0.387309046141041,12,0,15,0.180656081736248,3,0.195816281969322,10.75,12,"Norman","CBL+CNN1_1"
"183","baseReg",0.5979,6,0.990853288481212,3,0.982367758186398,4,0.180256663964427,4,0.687844427658009,4.25,3,"Norman","CBL+CNN1_1"
"184","biolord",0.5351,9,0.986145549756377,4,0.974811083123426,6,0.138244497077391,9,0.658575282489298,7,6,"Norman","CBL+CNN1_1"
"185","baseControl",-0.0833999999999999,15,0.937360198366597,10,0.891687657430731,12,0.179955113568523,5,0.481400742341463,10.5,11,"Norman","CBL+CNN1_1"
"186","CPA",0.6724,1,0.391097778779629,11,1,1,1,1,0.765874444694907,3.5,2,"Norman","CBL+CNN1_1"
"187","GEARS",0.6129,2,0.978706802379012,7,0.972292191435768,7,0.0179299074702691,14,0.645457225321262,7.5,8,"Norman","CBL+CNN1_1"
