"","method","cor","Rank_pcc","edistance_score","Rank_edistance","mse_score","Rank_mse","DEG_score","Rank_deg","was_score","Rank_was","sym_score","Rank_sym","ac_score","ac_rank","Rank","DataSet","op"
"42","scFoundation",0.7653,10,0.397560901983276,13,1,1,0,6,0.882525754391402,2,0.825230905159879,3,0.645102926922426,5.83333333333333,6,"Norman","ARID1A_1"
"43","scGPT",0.7254,12,0,15,0.709728867623605,10,0.01,2,0.780634892963103,4,0.744446029184962,4,0.495034964961945,7.83333333333333,10,"Norman","ARID1A_1"
"44","scouter",0.7585,11,0.20167838922933,14,0.914673046251994,2,0.01,2,0.880595183904595,3,1,1,0.62757443656432,5.5,4,"Norman","ARID1A_1"
"45","trainMean",0.8117,2,0.969813143357382,5,0.753588516746412,8,0,6,0.314195504159766,11,7.67566911898943e-05,11,0.474895653492458,7.16666666666667,8,"Norman","ARID1A_1"
"46","AttentionPert",0.0843,8,0.700417280314187,10,0.490066225165563,13,0,2,0.350039212757217,14,0.0781306432970799,12,0.283825560255675,9.83333333333333,12,"Norman","BAK1+BCL2L11_1"
"47","baseMLP",0.0383,13,0.296637211585665,12,0,15,0.02,1,0,15,0.0976786433234065,8,0.0754359758181786,10.6666666666667,14,"Norman","BAK1+BCL2L11_1"
"48","baseReg",0.3383,2,1,1,0.887417218543046,2,0,2,0.568398252231393,5,0.100092865745494,6,0.482368056086656,3,1,"Norman","BAK1+BCL2L11_1"
"49","biolord",0.3336,3,0.994599901816397,2,0.874172185430464,3,0,2,0.588266049221347,4,0.0975619989793118,9,0.481366689241253,3.83333333333333,4,"Norman","BAK1+BCL2L11_1"
"50","baseControl",0.3174,4,0.993986254295533,3,0.874172185430464,3,0,2,0.568211524816074,6,0.105853916123527,4,0.476603980110933,3.66666666666667,3,"Norman","BAK1+BCL2L11_1"
"51","CPA",0.0558999999999999,12,0.35027000490918,11,0.71523178807947,9,0,2,0.898494977032528,2,1,1,0.503316128336863,6.16666666666667,7,"Norman","BAK1+BCL2L11_1"
"52","GEARS",0.0639,11,0.806455571919489,8,0.629139072847682,11,0,2,0.448593942562647,11,0.0753591476186436,13,0.337241289158077,9.33333333333333,11,"Norman","BAK1+BCL2L11_1"
"53","GeneCompass",0.076,9,0.86953853706431,7,0.701986754966887,10,0,2,0.481570004108003,9,0.0922674714624548,11,0.370227127933609,8,10,"Norman","BAK1+BCL2L11_1"
"54","GenePert",0.0647,10,0.895679921453117,6,0.768211920529801,8,0,2,0.468461739552601,10,0.0986982729643164,7,0.382625309083306,7.16666666666667,9,"Norman","BAK1+BCL2L11_1"
"55","linearModel",0.1566,7,0.936548846342661,5,0.814569536423841,6,0,2,0.511782499906636,8,0.0958960638974531,10,0.419232824428432,6.33333333333333,8,"Norman","BAK1+BCL2L11_1"
"56","scELMo",0.024,14,0.786450662739323,9,0.602649006622517,12,0,2,0.429659782649289,12,0.0723990596554167,14,0.319193085277757,10.5,13,"Norman","BAK1+BCL2L11_1"
"57","scFoundation",-0.1818,15,0,15,0.178807947019868,14,0,2,0.408410202785973,13,0,15,0.0675696916343068,12.3333333333333,15,"Norman","BAK1+BCL2L11_1"
"58","scGPT",0.8462,1,0.188389788905253,13,1,1,0,2,1,1,0.90570909604274,2,0.656716480824665,3.33333333333333,2,"Norman","BAK1+BCL2L11_1"
"59","scouter",0.3074,5,0.179921453117329,14,0.788079470198676,7,0,2,0.893938828098741,3,0.61411324137583,3,0.463908832131763,5.66666666666667,6,"Norman","BAK1+BCL2L11_1"
"60","trainMean",0.2253,6,0.968335787923417,4,0.854304635761589,5,0,2,0.522874108376592,7,0.101059163525996,5,0.445312282597932,4.83333333333333,5,"Norman","BAK1+BCL2L11_1"
"61","AttentionPert",0.2802,7,0.95587516116125,4,0.959247648902821,6,0,2,0.726184269662921,7,0.986280169921277,10,0.651297874941378,6,4,"Norman","BAK1+KLF1_1"
"62","baseMLP",0.029,15,0,15,0,15,0.02,1,0,15,0.878124686628327,11,0.154520781104721,12,15,"Norman","BAK1+KLF1_1"
"63","baseReg",0.1302,13,0.92802205130485,10,0.931604445711029,14,0,2,0.675317852684145,14,0.992227806130501,6,0.609562025971754,9.83333333333333,14,"Norman","BAK1+KLF1_1"
"64","biolord",0.4676,1,0.979749255323879,3,0.981761185522941,3,0,2,0.716476404494382,8,0.993627026678364,3,0.689868978669928,3.33333333333333,3,"Norman","BAK1+KLF1_1"
"65","baseControl",0.0666,14,0.934112835104255,8,0.936734112282702,12,0,2,0.684048938826467,12,0.993969920538443,2,0.602577634458644,8.33333333333333,11,"Norman","BAK1+KLF1_1"
"66","CPA",0.3199,5,0.624238652025074,11,0.966087204331718,5,0,2,0.991410736579276,2,0.607544501452375,13,0.584863515731407,6.33333333333333,5,"Norman","BAK1+KLF1_1"
"67","GEARS",0.4492,2,1,1,1,1,0,2,0.758443945068664,5,0.991999767241045,8,0.699940618718285,3.16666666666667,2,"Norman","BAK1+KLF1_1"
"68","GeneCompass",0.381,4,0.982194460498822,2,0.984041037332573,2,0,2,0.755108114856429,6,1,1,0.683723935447971,2.83333333333333,1,"Norman","BAK1+KLF1_1"
"69","GenePert",0.1936,10,0.944204863735384,6,0.948703334283272,7,0,2,0.695524594257179,10,0.992080637456955,7,0.629018904955465,7,8,"Norman","BAK1+KLF1_1"
"70","linearModel",0.1971,9,0.947005735117592,5,0.948703334283272,7,0,2,0.688461423220974,11,0.992537415961767,5,0.628967984763934,6.5,6,"Norman","BAK1+KLF1_1"
"71","scELMo",0.1897,11,0.936424665451474,7,0.94157879737817,9,0,2,0.716006991260924,9,0.986836454557603,9,0.628424484774695,7.83333333333333,10,"Norman","BAK1+KLF1_1"
"72","scFoundation",0.2815,6,0.542035299871071,12,0.940723852949558,10,0,2,0.958603745318352,4,0.684903152351464,12,0.567961008415074,7.66666666666667,9,"Norman","BAK1+KLF1_1"
"73","scGPT",0.4056,3,0.363846530031565,14,0.979481333713309,4,0,2,1,1,0,15,0.458154643957479,6.5,6,"Norman","BAK1+KLF1_1"
"74","scouter",0.2094,8,0.397434757480105,13,0.935594186377885,13,0,2,0.968553308364544,3,0.509604781112502,14,0.503431172222506,8.83333333333333,13,"Norman","BAK1+KLF1_1"
"75","trainMean",0.1497,12,0.933579335793358,9,0.937019093758906,11,0,2,0.680411485642946,13,0.992640787013418,4,0.615558450368105,8.5,12,"Norman","BAK1+KLF1_1"
"76","AttentionPert",0.7982,8,0.772080013561621,6,0.525423728813559,8,0,4,0.234386269752803,10,0.141197320082729,12,0.411881222035119,8,9,"Norman","BAK1+TMSB4X_1"
"77","baseMLP",0.9242,6,0.864383793863367,5,0.71939736346516,7,0.15,1,0.331248770572422,9,0.146536515066477,8,0.522627740494571,6,7,"Norman","BAK1+TMSB4X_1"
"78","baseReg",0.9829,5,0.888201390066113,4,0.768361581920904,6,0,4,0.360402596551046,8,0.146589066544086,7,0.524409105847025,5.66666666666667,6,"Norman","BAK1+TMSB4X_1"
"79","biolord",0.9912,1,0.999788099677911,2,1,1,0,4,0.468420103599764,6,0.148275722004381,6,0.601280654213676,3.33333333333333,1,"Norman","BAK1+TMSB4X_1"
"80","baseControl",0.0993000000000001,15,0.559798270893372,10,0.0433145009416197,13,0.02,2,0.00595042948003421,14,0.14934560383181,4,0.146284800857806,9.66666666666667,12,"Norman","BAK1+TMSB4X_1"
"81","CPA",0.6871,9,0.0973046279030344,14,0.171374764595104,11,0,4,0.664161366467773,3,0.999528436919197,2,0.436578199314185,7.16666666666667,8,"Norman","BAK1+TMSB4X_1"
"82","GEARS",0.1101,14,0.554076962196983,11,0.0282485875706215,14,0,4,0,15,0.104798448361782,13,0.132870666354898,11.8333333333333,15,"Norman","BAK1+TMSB4X_1"
"83","GeneCompass",0.3789,12,0.606246821495169,9,0.16195856873823,12,0,4,0.0996246147793589,13,0.148307660654771,5,0.232506277611255,9.16666666666667,11,"Norman","BAK1+TMSB4X_1"
"84","GenePert",0.5348,10,0.644600779793185,7,0.244821092278719,9,0,4,0.108304373483706,12,0.14214157805135,11,0.279111303934493,8.83333333333333,10,"Norman","BAK1+TMSB4X_1"
"85","linearModel",0.9905,2,1,1,1,1,0,4,0.475378663694184,5,0.145185085436553,10,0.601843958188456,3.83333333333333,2,"Norman","BAK1+TMSB4X_1"
"86","scELMo",0.4312,11,0.628030174605865,8,0.214689265536723,10,0,4,0.137400826175333,11,0.0676205335290208,14,0.246490133307824,9.66666666666667,12,"Norman","BAK1+TMSB4X_1"
"87","scFoundation",0.2242,13,0,15,0,15,0,4,0.55037374598387,4,0,15,0.129095624330645,11,14,"Norman","BAK1+TMSB4X_1"
"88","scGPT",0.895,7,0.134132903882014,13,0.826741996233522,5,0,4,0.944503639105633,2,1,1,0.633396423203528,5.33333333333333,5,"Norman","BAK1+TMSB4X_1"
"89","scouter",0.9855,4,0.352305475504323,12,0.947269303201507,4,0.01,3,1,1,0.603050744455749,3,0.649687587193596,4.5,3,"Norman","BAK1+TMSB4X_1"
"90","trainMean",0.9895,3,0.998559077809798,3,0.99623352165725,3,0,4,0.4658710904203,7,0.145714443551479,9,0.599313022239805,4.83333333333333,4,"Norman","BAK1+TMSB4X_1"
"91","AttentionPert",0.0841,13,0.976593847525635,9,0.930362116991643,10,0,4,0.530039832525229,5,0.108713001944923,4,0.438301466497905,7.5,9,"Norman","BCL2L11_1"
"92","baseMLP",-0.1424,15,0.336899985138951,11,0,15,0.02,1,0,15,0.0765868971869792,7,0.048514480387655,10.6666666666667,15,"Norman","BCL2L11_1"
"93","baseReg",0.342,8,0.98164660425026,8,0.94150417827298,9,0,4,0.481629952022805,12,0.0703676500053096,11,0.469524730758559,8.66666666666667,12,"Norman","BCL2L11_1"
"94","biolord",0.4104,3,0.992123643929261,3,0.955431754874652,4,0,4,0.475979587421576,13,0.0661989751704762,12,0.483355660232661,6.5,5,"Norman","BCL2L11_1"
"95","baseControl",-0.1308,14,0.986030613761331,6,0.944289693593315,8,0.01,3,0.484658751065806,11,0.0746929809855283,8,0.394812006567664,8.33333333333333,11,"Norman","BCL2L11_1"
"96","CPA",0.1019,12,0.14690147124387,12,0.718662952646239,13,0,4,0.889754260044032,3,1,1,0.476203113989024,7.5,9,"Norman","BCL2L11_1"
"97","GEARS",0.3976,5,0.996284737702482,2,0.958217270194986,3,0,4,0.502920627648608,7,0.0285882565848568,13,0.480601815355155,5.66666666666667,4,"Norman","BCL2L11_1"
"98","GeneCompass",0.3496,7,0.990191707534552,5,0.947075208913649,6,0,4,0.492574351926087,8,0.0255452042215121,14,0.467497745432633,7.33333333333333,8,"Norman","BCL2L11_1"
"99","GenePert",0.3765,6,0.984247287858523,7,0.947075208913649,6,0,4,0.485078710596979,10,0.0728153725407236,10,0.477619429984979,7.16666666666667,7,"Norman","BCL2L11_1"
"100","linearModel",0.1566,11,0.958314757021846,10,0.910863509749304,11,0.02,1,0.465149721935886,14,0.0766921783025638,6,0.431270027834933,8.83333333333333,13,"Norman","BCL2L11_1"
"101","scELMo",0.2808,9,0.99182642294546,4,0.952646239554317,5,0,4,0.507692895048295,6,0.090365797729533,5,0.470555225879601,5.5,3,"Norman","BCL2L11_1"
"102","scFoundation",0.2063,10,0.143111903700401,13,0.598885793871866,14,0,4,0.777943216380967,4,0,15,0.287706818992206,10,14,"Norman","BCL2L11_1"
"103","scGPT",0.7688,1,0,15,1,1,0,4,1,1,0.870198045893302,2,0.60649967431555,4,1,"Norman","BCL2L11_1"
"104","scouter",0.41,4,0.0815871600534999,14,0.908077994428969,12,0,4,0.957367744562797,2,0.443350642751504,3,0.466730590299462,6.5,5,"Norman","BCL2L11_1"
"105","trainMean",0.4323,2,1,1,0.966573816155989,2,0,4,0.490118224971048,9,0.0734661440941655,9,0.4937430308702,4.5,2,"Norman","BCL2L11_1"
"106","AttentionPert",0.8433,3,0.988675202775085,5,0.965260545905707,6,0,3,0.407504973268681,5,0.121631541823939,4,0.554395377295569,4.33333333333333,2,"Norman","BCL2L11+TGFBR2_1"
"107","baseMLP",0.3755,13,0.614548793552007,11,0,15,0.04,1,0,15,0.0548533867840286,12,0.180817030056006,11.1666666666667,15,"Norman","BCL2L11+TGFBR2_1"
"108","baseReg",0.8235,5,0.995612916390348,3,0.987593052109181,3,0,3,0.327676240208877,12,0.0618398171725405,8,0.532703670980158,5.66666666666667,5,"Norman","BCL2L11+TGFBR2_1"
"109","biolord",0.863,2,1,1,1,1,0,3,0.332152182021634,11,0.0628674416794087,6,0.54300327061684,4,1,"Norman","BCL2L11+TGFBR2_1"
"110","baseControl",0.0361,15,0.893995816966791,10,0.714640198511166,13,0.02,2,0.241716399353475,14,0.0618640477018995,7,0.328052743755555,10.1666666666667,13,"Norman","BCL2L11+TGFBR2_1"
"111","CPA",0.6097,12,0.301535479263378,12,0.771712158808933,10,0,3,0.979718388660947,2,1,1,0.610444337788876,6.66666666666667,8,"Norman","BCL2L11+TGFBR2_1"
"112","GEARS",0.7633,8,0.910064786002143,9,0.759305210918114,11,0,3,0.341546997389034,8,0.0128797341623094,14,0.464516121411933,8.83333333333333,11,"Norman","BCL2L11+TGFBR2_1"
"113","GeneCompass",0.7465,9,0.969851553333673,6,0.918114143920596,7,0,3,0.380089829665548,6,0.042009047649746,13,0.509427429094927,7.33333333333333,10,"Norman","BCL2L11+TGFBR2_1"
"114","GenePert",0.6568,11,0.954037647298883,8,0.885856079404467,9,0,3,0.298085291557876,13,0.0560698230898833,11,0.475141473558518,9.16666666666667,12,"Norman","BCL2L11+TGFBR2_1"
"115","linearModel",0.8268,4,0.997806458195174,2,0.997518610421836,2,0,3,0.336721372622156,9,0.0584394841144666,10,0.536214320892272,5,3,"Norman","BCL2L11+TGFBR2_1"
"116","scELMo",0.7185,10,0.961842575116054,7,0.898263027295285,8,0,3,0.367578950640308,7,0.102624594886259,5,0.508134857989651,6.66666666666667,8,"Norman","BCL2L11+TGFBR2_1"
"117","scFoundation",0.3384,14,0.15364995153803,13,0.429280397022332,14,0,3,0.795295598657217,4,0,15,0.286104324536263,10.5,14,"Norman","BCL2L11+TGFBR2_1"
"118","scGPT",0.8168,6,0,15,0.967741935483871,5,0,3,1,1,0.945966376477703,2,0.621751385326929,5.33333333333333,4,"Norman","BCL2L11+TGFBR2_1"
"119","scouter",0.8649,1,0.0289751568637455,14,0.722084367245658,12,0,3,0.936334390152928,3,0.569768275859902,3,0.520343698353706,6,6,"Norman","BCL2L11+TGFBR2_1"
"120","trainMean",0.8116,7,0.993470387185635,4,0.985111662531017,4,0,3,0.336542645778938,10,0.0606937476978426,9,0.531236407198906,6.16666666666667,7,"Norman","BCL2L11+TGFBR2_1"
"121","AttentionPert",0.0659,15,0.965812344803122,8,0.890274314214464,11,0,3,0.321703181921467,7,0.0826394148829678,12,0.387721542637003,9.33333333333333,12,"Norman","BCORL1_1"
"122","baseMLP",0.215,10,0.683087974459028,11,0,15,0.05,1,0,15,0.102543866236907,10,0.175105306782656,10.3333333333333,15,"Norman","BCORL1_1"
"123","baseReg",0.2073,11,0.960801702731465,9,0.877805486284289,12,0,3,0.277342461536206,14,0.105501159452062,6,0.404791801667337,9.16666666666667,11,"Norman","BCORL1_1"
"124","biolord",0.3292,5,0.992639233770841,3,0.972568578553616,4,0,3,0.313764870590132,9,0.102765537294703,9,0.451823036701549,5.5,4,"Norman","BCORL1_1"
"125","baseControl",0.1271,14,0.981686768357574,6,0.932668329177057,7,0.01,2,0.296928027443248,12,0.0999540562399083,11,0.408056196869631,8.66666666666667,10,"Norman","BCORL1_1"
"126","CPA",0.1572,13,0.448385952465413,12,0.895261845386534,9,0,3,0.998761242276089,2,1,1,0.583268173354673,6.66666666666667,8,"Norman","BCORL1_1"
"127","GEARS",0.2243,8,0.949184107839659,10,0.845386533665835,13,0,3,0.29033842274623,13,0.0725105298781106,13,0.396953265688306,10,14,"Norman","BCORL1_1"
"128","GeneCompass",0.2779,7,0.977119545938276,7,0.932668329177057,7,0,3,0.351044881145228,5,0.113169977057823,4,0.441983788886397,5.5,4,"Norman","BCORL1_1"
"129","GenePert",0.4424,1,0.993215679318907,2,0.985037406483791,2,0,3,0.310942848556371,10,0.109538384575503,5,0.473522386489095,3.83333333333333,2,"Norman","BCORL1_1"
"130","linearModel",0.4004,2,1,1,1,1,0,3,0.315040277950845,8,0.105306881366883,7,0.470124526552955,3.66666666666667,1,"Norman","BCORL1_1"
"131","scELMo",0.3326,4,0.989978715856687,4,0.975062344139651,3,0,3,0.343025940612928,6,0.0597465577001461,14,0.450068926384902,5.66666666666667,6,"Norman","BCORL1_1"
"132","scFoundation",0.2226,9,0.0832742107130189,14,0.234413965087282,14,0,3,0.755715510859287,4,0,15,0.216000614443265,9.83333333333333,13,"Norman","BCORL1_1"
"133","scGPT",0.3637,3,0,15,0.945137157107232,6,0,3,1,1,0.920155316377649,2,0.53816541224748,5,3,"Norman","BCORL1_1"
"134","scouter",0.1662,12,0.13138524299397,13,0.895261845386534,9,0,3,0.985809260630227,3,0.608250419691105,3,0.464484461450306,7.16666666666667,9,"Norman","BCORL1_1"
"135","trainMean",0.291,6,0.985810571124512,5,0.955112219451372,5,0,3,0.308589941873676,11,0.10347566475347,8,0.440664732867172,6.33333333333333,7,"Norman","BCORL1_1"
"136","AttentionPert",0.9079,9,0.915855839471371,6,0.876513317191283,7,0,4,0.541577059850818,6,0.986537899222828,9,0.70473068595605,6.83333333333333,7,"Norman","BPGM+SAMD1_1"
"137","baseMLP",0.9645,6,0.930102149070959,5,0.878329297820823,6,0.44,1,0.460540325329296,13,0.994376439231171,6,0.777974701908708,6.16666666666667,6,"Norman","BPGM+SAMD1_1"
"138","baseReg",0.9854,4,0.972901700463763,4,0.943099273607748,5,0,4,0.497009419649455,12,0.995986108523669,3,0.732399417040773,5.33333333333333,5,"Norman","BPGM+SAMD1_1"
"139","biolord",0.9861,3,0.993483071140614,3,0.98365617433414,4,0,4,0.522433122901843,10,0.995688893170537,4,0.746893543591189,4.66666666666667,2,"Norman","BPGM+SAMD1_1"
"140","baseControl",-0.2827,15,0.392137249552908,12,0,15,0.01,2,0,15,0.98551898799091,10,0.18415937292397,11.5,15,"Norman","BPGM+SAMD1_1"
"141","CPA",0.909,8,0.415567882149677,11,0.687651331719128,12,0,4,0.8768387620234,3,0.830990742908222,13,0.620008119800071,8.5,10,"Norman","BPGM+SAMD1_1"
"142","GEARS",0.8993,11,0.877724227819708,8,0.821428571428571,10,0,4,0.529065786735275,8,1,1,0.687919764330593,7,8,"Norman","BPGM+SAMD1_1"
"143","GeneCompass",0.9002,10,0.897396259585948,7,0.85956416464891,8,0,4,0.577678175549932,5,0,15,0.539139766630798,8.16666666666667,9,"Norman","BPGM+SAMD1_1"
"144","GenePert",0.8979,12,0.716498438968203,10,0.542978208232445,14,0,4,0.282568370126168,14,0.991571860078422,7,0.57191947956754,10.1666666666667,14,"Norman","BPGM+SAMD1_1"
"145","linearModel",0.9876,2,1,1,0.99455205811138,2,0,4,0.526613601334375,9,0.997642644492141,2,0.751068050656316,3.33333333333333,1,"Norman","BPGM+SAMD1_1"
"146","scELMo",0.8851,13,0.874268739959383,9,0.815980629539952,11,0,4,0.535692418132297,7,0.98866876585081,8,0.683285092247074,8.66666666666667,12,"Norman","BPGM+SAMD1_1"
"147","scFoundation",0.8065,14,0.167894274195993,14,0.664043583535109,13,0,4,0.791998576345007,4,0.903822927576229,11,0.555709893608723,10,13,"Norman","BPGM+SAMD1_1"
"148","scGPT",0.948,7,0,15,0.837772397094431,9,0,4,0.898793814339705,2,0.706380355524993,14,0.565157761159855,8.5,10,"Norman","BPGM+SAMD1_1"
"149","scouter",0.9891,1,0.304325422084811,13,1,1,0.01,2,1,1,0.878011144495583,12,0.696906094430066,5,3,"Norman","BPGM+SAMD1_1"
"150","trainMean",0.9853,5,0.995271437664818,2,0.986077481840194,3,0,4,0.518089768686226,11,0.995271859603531,5,0.746668424632461,5,3,"Norman","BPGM+SAMD1_1"
"151","AttentionPert",0.7948,2,0.952079987566699,4,0.625491051942383,5,0,2,0.459580998131839,7,0.163350815679053,6,0.499217142219996,4.33333333333333,2,"Norman","CBFA2T3+FEV_1"
"152","baseMLP",0.6247,14,0.79008444283272,11,0.366652116979485,14,0.05,1,0.224280757939685,14,0.157932115906992,7,0.36894157227648,10.1666666666667,14,"Norman","CBFA2T3+FEV_1"
